Symbol,Date,Close
XOM,10/1/2012,91.8
XOM,10/2/2012,91.72
XOM,10/3/2012,91.7
XOM,10/4/2012,92.22
XOM,10/5/2012,92.55
XOM,10/8/2012,92.68
XOM,10/9/2012,92.13
XOM,10/10/2012,91.03
XOM,10/11/2012,91.17
XOM,10/12/2012,91.03
XOM,10/15/2012,91.51
XOM,10/16/2012,92.38
XOM,10/17/2012,93.39
XOM,10/18/2012,93.48
XOM,10/19/2012,92.15
XOM,10/22/2012,92.19
XOM,10/23/2012,90.18
XOM,10/24/2012,89.88
XOM,10/25/2012,90.43
XOM,10/26/2012,90.62
XOM,10/31/2012,91.17
XOM,11/1/2012,91.6
XOM,11/2/2012,90.27
XOM,11/5/2012,90.63
XOM,11/6/2012,91.61
XOM,11/7/2012,88.18
XOM,11/8/2012,87.07
XOM,11/9/2012,87.21
XOM,11/12/2012,87.32
XOM,11/13/2012,86.47
XOM,11/14/2012,86.07
XOM,11/15/2012,86.14
XOM,11/16/2012,86.45
XOM,11/19/2012,87.67
XOM,11/20/2012,87.5
XOM,11/21/2012,88.01
XOM,11/23/2012,89.09
XOM,11/26/2012,88.62
XOM,11/27/2012,87.35
XOM,11/28/2012,88.1
XOM,11/29/2012,88.12
XOM,11/30/2012,88.14
XOM,12/3/2012,87.61
XOM,12/4/2012,87.19
XOM,12/5/2012,87.73
XOM,12/6/2012,88
XOM,12/7/2012,88.6
XOM,12/10/2012,88.41
XOM,12/11/2012,88.99
XOM,12/12/2012,89.45
XOM,12/13/2012,88.58
XOM,12/14/2012,88.08
XOM,12/17/2012,88.87
XOM,12/18/2012,89.56
XOM,12/19/2012,88.44
XOM,12/20/2012,88.89
XOM,12/21/2012,87.23
XOM,12/24/2012,86.92
XOM,12/26/2012,87.07
XOM,12/27/2012,86.86
XOM,12/28/2012,85.1
XOM,12/31/2012,86.55
XOM,1/2/2013,88.71
XOM,1/3/2013,88.55
XOM,1/4/2013,88.96
XOM,1/7/2013,87.93
XOM,1/8/2013,88.48
XOM,1/9/2013,88.14
XOM,1/10/2013,89.1
XOM,1/11/2013,89.61
XOM,1/14/2013,89.58
XOM,1/15/2013,89.53
XOM,1/16/2013,89.47
XOM,1/17/2013,90.2
XOM,1/18/2013,90.8
XOM,1/22/2013,90.92
XOM,1/23/2013,90.7
XOM,1/24/2013,91.35
XOM,1/25/2013,91.73
XOM,1/28/2013,91.11
XOM,1/29/2013,91.76
XOM,1/30/2013,90.67
XOM,1/31/2013,89.97
XOM,2/1/2013,90.04
XOM,2/4/2013,89.15
XOM,2/5/2013,89.74
XOM,2/6/2013,89.79
XOM,2/7/2013,88.25
XOM,2/8/2013,88.61
XOM,2/11/2013,88.28
XOM,2/12/2013,88.46
XOM,2/13/2013,88.67
XOM,2/14/2013,88.52
XOM,2/15/2013,88.36
XOM,2/19/2013,89.32
XOM,2/20/2013,88.97
XOM,2/21/2013,88.59
XOM,2/22/2013,89.2
XOM,2/25/2013,87.7
XOM,2/26/2013,88.51
XOM,2/27/2013,89.53
XOM,2/28/2013,89.55
XOM,3/1/2013,89.43
XOM,3/4/2013,88.95
XOM,3/5/2013,89.61
XOM,3/6/2013,89.56
XOM,3/7/2013,88.71
XOM,3/8/2013,88.97
XOM,3/11/2013,89.16
XOM,3/12/2013,89.16
XOM,3/13/2013,89.26
XOM,3/14/2013,89.83
XOM,3/15/2013,89.37
XOM,3/18/2013,88.77
XOM,3/19/2013,88.58
XOM,3/20/2013,88.63
XOM,3/21/2013,88.17
XOM,3/22/2013,89.29
XOM,3/25/2013,89.02
XOM,3/26/2013,90.13
XOM,3/27/2013,90.58
XOM,3/28/2013,90.11
XOM,4/1/2013,90.77
XOM,4/2/2013,90.58
XOM,4/3/2013,89.93
XOM,4/4/2013,89.77
XOM,4/5/2013,89.01
XOM,4/8/2013,88.6
XOM,4/9/2013,88.77
XOM,4/10/2013,88.68
XOM,4/11/2013,89.22
XOM,4/12/2013,88.99
XOM,4/15/2013,86.49
XOM,4/16/2013,86.61
XOM,4/17/2013,86.08
XOM,4/18/2013,86.62
XOM,4/19/2013,87.45
XOM,4/22/2013,88.09
XOM,4/23/2013,89.3
XOM,4/24/2013,89.43
XOM,4/25/2013,88.07
XOM,4/26/2013,88
XOM,4/29/2013,88.21
XOM,4/30/2013,88.99
XOM,5/1/2013,87.51
XOM,5/2/2013,88.63
XOM,5/3/2013,90.02
XOM,5/6/2013,90.58
XOM,5/7/2013,91.15
XOM,5/8/2013,91.7
XOM,5/9/2013,91.03
XOM,5/10/2013,90.14
XOM,5/13/2013,90.1
XOM,5/14/2013,91.11
XOM,5/15/2013,91.24
XOM,5/16/2013,90.7
XOM,5/17/2013,91.76
XOM,5/20/2013,92.52
XOM,5/21/2013,92.8
XOM,5/22/2013,92.19
XOM,5/23/2013,91.79
XOM,5/24/2013,91.53
XOM,5/28/2013,92.38
XOM,5/29/2013,92.08
XOM,5/30/2013,92.09
XOM,5/31/2013,90.47
XOM,6/3/2013,91.46
XOM,6/4/2013,90.79
XOM,6/5/2013,89.65
XOM,6/6/2013,90.23
XOM,6/7/2013,91.45
XOM,6/10/2013,91.12
XOM,6/11/2013,90.46
XOM,6/12/2013,89.74
XOM,6/13/2013,91.33
XOM,6/14/2013,90.58
XOM,6/17/2013,91.51
XOM,6/18/2013,91.93
XOM,6/19/2013,91
XOM,6/20/2013,89.05
XOM,6/21/2013,89.48
XOM,6/24/2013,88.48
XOM,6/25/2013,89.11
XOM,6/26/2013,89.8
XOM,6/27/2013,90.04
XOM,6/28/2013,90.35
XOM,7/1/2013,90.3
XOM,7/2/2013,90.64
XOM,7/3/2013,90.69
XOM,7/5/2013,91.57
XOM,7/8/2013,92.25
XOM,7/9/2013,93.34
XOM,7/10/2013,92.82
XOM,7/11/2013,93.27
XOM,7/12/2013,93.4
XOM,7/15/2013,93.25
XOM,7/16/2013,93.3
XOM,7/17/2013,93.46
XOM,7/18/2013,94.38
XOM,7/19/2013,95.17
XOM,7/22/2013,94.83
XOM,7/23/2013,95.2
XOM,7/24/2013,94.99
XOM,7/25/2013,94.97
XOM,7/26/2013,94.79
XOM,7/29/2013,94.03
XOM,7/30/2013,93.81
XOM,7/31/2013,93.75
XOM,8/1/2013,92.73
XOM,8/2/2013,91.95
XOM,8/5/2013,91.59
XOM,8/6/2013,91.47
XOM,8/7/2013,91.34
XOM,8/8/2013,91.78
XOM,8/9/2013,90.72
XOM,8/12/2013,89.89
XOM,8/13/2013,89.4
XOM,8/14/2013,88.95
XOM,8/15/2013,88.16
XOM,8/16/2013,87.91
XOM,8/19/2013,86.92
XOM,8/20/2013,86.83
XOM,8/21/2013,86.42
XOM,8/22/2013,86.98
XOM,8/23/2013,87.52
XOM,8/26/2013,87.09
XOM,8/27/2013,86.82
XOM,8/28/2013,88.84
XOM,8/29/2013,87.27
XOM,8/30/2013,87.16
XOM,9/3/2013,87.15
XOM,9/4/2013,87.76
XOM,9/5/2013,87.35
XOM,9/6/2013,87.25
XOM,9/9/2013,88.04
XOM,9/10/2013,87.82
XOM,9/11/2013,88.84
XOM,9/12/2013,87.98
XOM,9/13/2013,88.4
XOM,9/16/2013,88.67
XOM,9/17/2013,88.94
XOM,9/18/2013,89.58
XOM,9/19/2013,89.28
XOM,9/20/2013,88.66
XOM,9/23/2013,87.75
XOM,9/24/2013,87.36
XOM,9/25/2013,87.14
XOM,9/26/2013,87.07
XOM,9/27/2013,86.9
XOM,9/30/2013,86.04
XOM,10/1/2013,86
XOM,10/2/2013,86.08
XOM,10/3/2013,85.5
XOM,10/4/2013,86.32
XOM,10/7/2013,85.9
XOM,10/8/2013,85.51
XOM,10/9/2013,85.16
XOM,10/10/2013,86.04
XOM,10/11/2013,86.95
XOM,10/14/2013,87.6
